date,ticker,price
2024-01-01,AAPL,149.25581011054663
2024-01-02,AAPL,149.74496660789615
2024-01-03,AAPL,149.28832283333256
2024-01-04,AAPL,150.40831532174172
2024-01-05,AAPL,151.35343758636125
2024-01-06,AAPL,152.0165322652149
2024-01-07,AAPL,151.03656781349738
2024-01-08,AAPL,152.9458778668272
2024-01-09,AAPL,152.62636752309285
2024-01-10,AAPL,152.40674367569903
2024-01-11,AAPL,153.61728470991346
2024-01-12,AAPL,153.09222156135522
2024-01-13,AAPL,153.23226423121406
2024-01-14,AAPL,153.2629365913584
2024-01-15,AAPL,153.40810684283858
2024-01-16,AAPL,153.1412943355575
2024-01-17,AAPL,153.64183834954417
2024-01-18,AAPL,155.14148283957823
2024-01-19,AAPL,153.11252947851426
2024-01-20,AAPL,151.3990362467327
